model,role,MAE,RMSE,MAPE_pct
STL_ComponentHGB_SelectedFeatures,candidate,24.408745911801873,30.904867643111356,41.98591960412768
HGB_RawTableFeatures,candidate,26.15503557532872,32.82751900550526,40.40223501757107
Naive_LastValue,baseline,29.508333333333333,36.24969348529416,41.615605203236406
SeasonalNaive_Weekly,baseline,30.175,37.03213694437126,45.87918424655961
