date,deterministic_forecast,fluctuated_mean,fluctuated_p10,fluctuated_p50,fluctuated_p90
2026-01-01,107.13736202174832,105.44467679547547,97.40913252483799,106.15660191418455,117.23006364058135
2026-01-02,113.90644548109867,113.63940295884802,45.68783344884308,110.53967652096122,168.92307531564668
2026-01-03,117.148887463729,123.95591680363124,103.83957909250923,117.770685649831,179.46246490575888
2026-01-04,122.4272118996898,118.49630976726257,57.88867997552189,123.3241345112742,140.10551640068087
2026-01-05,127.54813142757925,122.87791525735017,72.60966315697488,126.03133274082835,135.23968495680987
2026-01-06,120.10139409559143,116.05806853791424,60.99088916439064,120.14889875535505,132.96775252945088
2026-01-07,120.26670275473953,117.32886914208467,99.82231736547679,117.70773509606418,141.1022480235432
2026-01-08,106.01537509209356,104.52391987973657,78.69229598755982,110.88802858564091,127.76559915630516
2026-01-09,103.46868297475659,98.6749368566153,85.89510991985097,102.64107929962157,114.38379687751826
2026-01-10,99.88732825601403,102.57154587760564,45.784834525108614,100.75660079514229,162.16056767525544
2026-01-11,93.82399035361406,102.88723732601389,80.80013049616765,94.72079938822642,153.5992037311611
2026-01-12,117.19122117892132,119.28061372354958,101.8458431545758,119.44583000030822,134.3257593265645
2026-01-13,110.20065175864994,105.32814371183613,54.35979803495932,110.52205302170765,129.7122438685876
2026-01-14,114.94961071214632,112.82996791554716,59.42732460089479,112.1458101192228,169.48998922610008
2026-01-15,100.09544414819116,110.07615605894254,80.26863799203153,105.41226655606037,140.9941510403927
2026-01-16,92.3382479098261,84.97266734224347,26.61936294655611,91.88730814258555,108.87198036217457
2026-01-17,100.76100616908234,111.89461331058739,80.06157950313086,99.09716469592644,166.52131988694666
2026-01-18,99.69922843574045,98.15781420796834,57.238616703719465,95.47764505716917,121.96440488115901
2026-01-19,105.40687316380794,95.96729783788516,49.665998229893646,103.41373428250083,111.55576134817701
2026-01-20,112.29902930486527,111.82623226172316,99.62051048276338,110.49355466016816,120.46104761983142
2026-01-21,109.63132244640589,114.60515009303359,91.43998287645778,112.00438938674812,149.25421907982818
2026-01-22,95.26646049225741,86.52153975738437,36.61262445321854,89.85077060557603,111.79093318398628
2026-01-23,97.83130249436523,97.21082277326121,73.26952046288092,99.19127733805504,121.62659753812622
2026-01-24,96.61050603807885,92.89192616857255,42.03728973200958,97.99393898858182,117.74359402816508
2026-01-25,99.94473868032632,99.9330636807728,58.047879311318965,99.29484050095971,144.6625649328214
2026-01-26,112.12142600636045,109.77297017833013,101.14842752586357,114.16539456159866,122.51618241022469
2026-01-27,105.40764807158094,109.05950795134937,86.44723164391617,102.1485000564562,147.67973136548952
2026-01-28,113.43893230599144,106.61467304547729,48.90040038182354,112.25833516660344,122.14339102317254
2026-01-29,92.26786112174578,89.35624545657927,51.886938820530204,93.07604771676569,103.70614535839
2026-01-30,95.63810262337158,91.9230771467008,32.16126216116996,94.84045074061642,128.44668481673946
2026-01-31,99.89817496892994,95.21031488433813,35.527131278707685,99.99577210163554,123.72682173757431
2026-02-01,106.07084989931153,100.65020602801906,62.200253066863326,101.66970742202042,119.66800998914654
2026-02-02,122.38419594593779,128.0687158772847,111.5082032190899,122.06248895778285,155.51061336210188
2026-02-03,119.22022809991111,126.17807478366421,110.34265268369947,122.85976508442769,134.25081187768103
2026-02-04,113.81512365795113,111.16093149255815,62.54878447606278,111.44735488342687,137.6227544367827
2026-02-05,109.08560155283179,108.09362515855364,94.65642304789296,109.90536519360674,123.77324128404994
2026-02-06,104.09085217108678,106.6566226510824,30.767915892865627,105.22251581097674,170.40118379717185
2026-02-07,115.63708841085631,116.70111216071753,99.17707988274294,116.37303433112609,143.37854742046954
2026-02-08,122.04467285716693,124.08528153392244,100.47411254091895,124.30092578871884,146.08014311116403
2026-02-09,111.24820928943414,111.05836521703468,87.68167387292185,112.19637040761438,126.9133160896119
2026-02-10,111.14067491776316,111.23795356975438,93.8919043762771,111.68091677401131,128.27215536749736
2026-02-11,119.02510638769604,123.46620944537086,106.66927601231134,119.10182842224361,173.1447273258286
2026-02-12,106.80295540283859,116.74627755483138,90.26352032555963,109.26580339737399,173.64627149245467
2026-02-13,111.42019467306712,108.544947175392,88.05504477899098,110.78563742250552,123.17623491320894
2026-02-14,104.61414628214894,99.26669290550673,69.15885172949186,100.47337616084732,118.68628834910058
2026-02-15,105.84710041289047,105.82929714258209,80.51842533253387,103.27174837942056,154.2813200679765
2026-02-16,117.90205668145151,111.25401286871079,76.41371766938828,118.9546071431413,130.4196638195265
2026-02-17,114.2890151571034,122.55570202125448,96.79561824969316,114.59665081424176,173.14044973498517
2026-02-18,116.50264698433487,116.38696809965103,102.46714108238,115.47994277063735,133.85881634216088
2026-02-19,97.21899040620131,96.14243050760037,45.88806692384532,95.2722447248904,147.91597808674092
2026-02-20,85.76145950813279,88.60814449737113,26.514330701159082,88.91581625969899,131.25503994819516
2026-02-21,106.12904767379376,102.6811783475632,93.96432663324039,106.39934658264542,117.00269950074909
2026-02-22,114.0011306054134,113.1369746727743,94.71549034454203,115.69136234996651,122.12730794903867
2026-02-23,111.34474368102703,101.51010962678957,29.49484183887038,110.367881274659,123.17462758456844
2026-02-24,107.2432066102007,114.13104276181635,95.45252924810022,111.10148031459917,145.1331598148681
2026-02-25,117.30401642693353,115.89667379524029,91.13541804872392,116.24682911657916,131.68153426287074
2026-02-26,98.44475641951223,92.63840352131419,41.91776294958058,92.21564950759547,124.22320404638148
2026-02-27,104.74852908806014,107.41680035022983,88.46902947111816,106.4280433178726,118.17075263803684
2026-02-28,100.58675895609576,103.58657775198728,80.25818260838463,101.84212798257226,130.15468192729267
2026-03-01,98.6671312496849,98.75718658402064,80.27543517744732,95.61622498962998,137.36136633493282
2026-03-02,108.13021460465,101.96226491492774,70.89975249499396,108.00455161039419,122.21514058336253
2026-03-03,111.15435312448238,108.42099958282661,93.94732067979173,109.28201643862555,123.40784473100533
2026-03-04,108.98559118544486,104.53554909180778,72.95882464570977,108.7327534312736,124.10124243002718
2026-03-05,88.34266336686744,84.04527429449875,35.256658356915416,86.02529302677293,109.64324974336692
2026-03-06,94.52207280085234,98.74490683850702,74.90992323481035,97.92944248845002,124.84107932545643
2026-03-07,92.24227160292727,96.48588348673567,80.16067249302981,91.02749828599451,145.5432168097266
2026-03-08,103.99051591013523,104.37723949034334,78.47614684395833,104.24529648422401,132.35993624924689
2026-03-09,108.1173518195685,100.45657674289025,38.77321423241991,105.33447474484319,147.95209725575128
2026-03-10,108.65688345992602,101.17956615752858,54.51634394538625,108.43156402268684,118.1093689499284
2026-03-11,111.1520850451626,103.63116501399196,40.99007655137956,109.65508491950033,145.4807958355627
2026-03-12,108.49925411005505,102.58096537395227,85.29485408748671,108.36680435439744,114.25460968963355
2026-03-13,109.03944942866138,110.48157357949457,78.54876780411266,110.11443423948238,129.6297115642897
2026-03-14,108.58509124392697,109.39345825064801,82.41649286571736,109.1232878422461,139.07540723015427
2026-03-15,111.65041881613291,115.1003341294939,90.46330845736792,112.90486560708518,167.12299133649555
2026-03-16,108.8203876987533,117.24549472126726,96.36484822858901,110.75913478745274,153.8452397345474
2026-03-17,114.37209510320184,107.31599698538412,86.67140559683261,114.1666442450086,132.36782988878113
2026-03-18,109.756406512272,111.53919487833834,89.84480535997743,108.54763439428376,131.89110220254705
2026-03-19,105.76774568657696,112.70264223008336,89.35960613065616,109.52148683848756,135.6675900477272
2026-03-20,102.32073501597223,103.51500339321898,88.31568974808928,104.38497066602321,119.78358460405043
2026-03-21,98.74914772568492,100.46363280450025,85.87874360015618,99.01205841411998,112.49304958341939
2026-03-22,91.80985507782081,81.4244538141053,30.60148014375797,88.58485673414442,105.13094455169723
2026-03-23,115.02075311416696,115.96317513242148,103.50127912707119,114.4345647522187,126.5410352541182
2026-03-24,114.30122351060822,118.0942463035325,100.18037874377272,118.68509405797417,138.21268172377685
2026-03-25,114.70092127399809,113.3814543692941,67.15436823289744,116.29620087165608,163.34148947940662
2026-03-26,110.89004433587837,110.03071410624003,55.36775822462684,113.14600484048411,133.18768114236133
2026-03-27,94.1831815796573,93.86882832186556,74.90596700397036,94.4662928060855,111.72052616030031
2026-03-28,108.61937591770536,96.49237169292887,56.37934397554467,105.02089867071332,118.56080954249136
2026-03-29,110.55051261631208,97.6340845784044,37.69269609721874,108.3793608133844,118.90265570942915
2026-03-30,104.43887581724766,106.66112074435162,96.36441587299086,108.02134697412178,117.79100076117945
2026-03-31,112.3758906791197,106.81470167049179,86.508148045444,108.95342403758862,125.74450223724553
